[2025-02-28 19:12:12,278] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:12,874] [INFO] It`S NEED TO SELL! RSI = 100.0
[2025-02-28 19:12:12,875] [INFO] [rsi_subscriber]  Trying to SELL. quantity= 1.
[2025-02-28 19:12:12,875] [INFO] [o_p_w_s] i am working...
[2025-02-28 19:12:13,031] [ERROR] Error in stream processing: <class 'tinkoff.invest.exceptions.AioRequestError'> (<StatusCode.INVALID_ARGUMENT: (3, 'invalid argument')>, '30052', Metadata(tracking_id='1fc7e74edfc13f78ad47032fee57c13b', ratelimit_limit='450, 450;w=60', ratelimit_remaining=446, ratelimit_reset=47, message='Instrument forbidden for trading by API'))
[2025-02-28 19:12:13,031] [INFO] Will retry after 12.803551194167731 seconds...
[2025-02-28 19:12:13,082] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:17,944] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:17,991] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:18,001] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:18,008] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:18,054] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:18,078] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:18,087] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:18,093] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:22,305] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:22,352] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:22,358] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:22,363] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:25,564] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:25,569] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:25,582] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:25,595] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:25,843] [INFO] It`S NEED TO SELL! RSI = 100.0
[2025-02-28 19:12:25,843] [INFO] [rsi_subscriber]  Trying to SELL. quantity= 1.
[2025-02-28 19:12:25,843] [INFO] [o_p_w_s] i am working...
[2025-02-28 19:12:26,022] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:26,023] [ERROR] Error in stream processing: <class 'tinkoff.invest.exceptions.AioRequestError'> (<StatusCode.INVALID_ARGUMENT: (3, 'invalid argument')>, '30052', Metadata(tracking_id='720806f70da2f8ddd50adf93983e10ba', ratelimit_limit='450, 450;w=60', ratelimit_remaining=445, ratelimit_reset=35, message='Instrument forbidden for trading by API'))
[2025-02-28 19:12:26,023] [INFO] Will retry after 25.96128893081634 seconds...
[2025-02-28 19:12:28,328] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:28,385] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:28,394] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:28,403] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:28,413] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:31,837] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:31,873] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:31,894] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:31,918] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:31,928] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:31,965] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:32,013] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:32,020] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:32,027] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:32,035] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:39,551] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:39,594] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:39,601] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:39,625] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:39,631] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:47,337] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:47,360] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:47,381] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:47,386] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:47,390] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:48,237] [INFO] Not enough data for EMA calculations.
